"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","untreated1","untreated2","untreated3","untreated4","treated1","treated2","treated3"
"1","FBgn0039155",730.595806139728,4.61901353518874,0.168706755508259,27.37894828973,4.88534665152036e-165,4.06607401806039e-161,1341.51776118858,1238.14810932715,1140.79499264476,1238.54376381258,42.7984017038036,49.9166019658457,62.4510123353708
"2","FBgn0025111",1501.41051323996,-2.89986418283045,0.126920467556456,-22.8478844953873,1.53390431977607e-115,6.38334282674812e-112,396.217753959431,364.194015941726,429.530098445191,407.08312752594,2559.34442188746,3127.66919159681,3225.83498332319
"3","FBgn0029167",3706.11653071978,2.19700028710376,0.0969888689013132,22.652086904315,1.33057628149235e-113,3.69146213028695e-110,5510.1502280123,5466.25658536731,5916.43071084183,5405.15930437221,1253.38176418282,1278.12772928337,1113.30939297863
"4","FBgn0003360",4343.03539692487,3.17967242210101,0.143526226315331,22.1539470780426,9.55682264058396e-109,1.98853587093951e-105,8361.86381859393,7578.35878807989,5764.01680494192,6372.31431650083,783.822156918233,798.665631453532,742.206261985753
"5","FBgn0035085",638.232608936723,2.56041205175743,0.137295199519262,18.6489553948185,1.28768630432113e-77,2.14348262217295e-74,1033.15316775231,880.646785868277,1002.23689637211,1044.31455917602,149.794405963313,177.33529645761,180.147150967416
"6","FBgn0039827",261.916235943103,4.16251610025946,0.232588756811956,17.8964630849495,1.25652935825781e-71,1.74301564146329e-68,419.938107300683,378.137125280995,491.111474566366,469.608967374696,21.3992008519018,18.3903270400484,34.8284491870337
"7","FBgn0034736",225.876362546023,3.51143881355116,0.214672094360112,16.3572206439685,3.86363324795231e-60,4.59385993181529e-57,321.542567514749,359.732220953159,440.306839266397,360.521331893888,28.736069715411,35.467059291522,34.8284491870337
"8","FBgn0029896",489.892369695729,2.44502425846941,0.15194278676142,16.0917428894375,2.91514019138197e-58,3.03283897660902e-55,649.234856266118,814.277585413353,829.809043232825,723.703337823894,150.405811701939,126.105099703189,135.710853728787
"9","FBgn0000071",342.2384071951,-2.67958365080867,0.182611754706845,-14.6736646559819,9.50687308684838e-49,8.79174496687101e-46,72.0395916289874,107.083079725592,113.925545824173,122.391005661394,594.286377944245,672.560531750342,713.382717830967
"10","FBgn0051092",153.065603475219,-2.32771099635801,0.176746353499534,-13.169782291232,1.30974799183702e-39,1.09010325360595e-36,56.2260227348194,57.4456104777913,58.5023073151157,51.8831437042865,266.572902040834,288.990853486475,291.838384567214
"11","FBgn0034434",114.625559330683,3.64256808292881,0.27828546979183,13.089321859505,3.78976216938357e-39,2.86747186688904e-36,171.313663020153,169.54820956552,200.139472393817,216.844933943556,15.8965492042699,11.822353097174,16.8137340902921
"12","FBgn0040091",1106.52964640409,1.5753982691116,0.12094190078871,13.0260749900391,8.69675745166868e-39,6.03192602251987e-36,1661.30326549287,1433.35164007693,1393.27863474157,1700.17070907893,519.083472093276,542.514647681429,496.005155663618
